kind,threshold,pct,K,R_eq,act_fraction,n_seed,frac_activated,frac_peak_active,peak_active,t_peak,n_early,N,seed_x,seed_y,seed_z
loc,0.125,99,0.017304422151675974,7.6018876938403706,0.01,100.0,0.9997,0.0489,489.0,369.0,1359.0,10000.0,-2.2061195373535156,-22.589597702026367,4.889047622680664
loc,0.125,95,0.012067619142811,9.10309766843283,0.01,100.0,0.9999,0.0489,489.0,366.0,1364.0,10000.0,1.8964787721633911,-23.170560836791992,-3.4561996459960938
loc,0.125,90,0.01013155292607936,9.934865484743725,0.01,100.0,0.9998,0.0539,539.0,357.0,1393.0,10000.0,-9.126017570495605,18.36349868774414,3.4683239459991455
loc,0.125,80,0.007410994651167962,11.616137659653749,0.01,100.0,1.0,0.0551,551.0,329.0,1420.0,10000.0,6.7443132400512695,19.092050552368164,-2.3813729286193848
loc,0.125,70,0.00528591359277723,13.754346794751484,0.01,100.0,0.9996,0.0568,568.0,328.0,1452.0,10000.0,2.3602821826934814,-17.31354522705078,-8.88182544708252
loc,0.125,60,0.003555449073853685,16.770760958324196,0.01,100.0,0.9991,0.0647,647.0,342.0,1485.0,10000.0,10.117992401123047,-12.855548858642578,2.198098659515381
loc,0.125,50,0.002387144742889361,20.467303215490702,0.01,100.0,0.9996,0.0677,677.0,337.0,1504.0,10000.0,9.549781799316406,-11.073118209838867,-4.782415866851807
loc,0.125,40,0.0017694950365717142,23.77252570175814,0.01,100.0,0.9966,0.0797,797.0,338.0,1518.0,10000.0,11.422552108764648,1.882009506225586,-2.3032290935516357
loc,0.125,30,0.0013822568123053058,26.897110706811716,0.01,100.0,0.9978,0.0805,805.0,344.0,1544.0,10000.0,4.852580547332764,-2.0938796997070312,10.623498916625977
loc,0.125,20,0.00103923252672307,31.020131491405227,0.01,100.0,0.9954,0.0762,762.0,349.0,1523.0,10000.0,6.667566299438477,4.436899185180664,-9.423171043395996
loc,0.125,10,0.000661866887491652,38.8700118323048,0.01,100.0,0.9968,0.0812,812.0,345.0,1560.0,10000.0,-11.259193420410156,0.8431373834609985,0.3250287175178528
loc,0.125,5,0.00040131755970168907,49.91785539507252,0.01,100.0,0.9963,0.0756,756.0,353.0,1531.0,10000.0,6.5259528160095215,-4.865880012512207,-9.537410736083984
loc,0.15,99,0.017304422151675974,7.6018876938403706,0.01,100.0,0.9975,0.0473,473.0,344.0,1269.0,10000.0,-2.2061195373535156,-22.589597702026367,4.889047622680664
loc,0.15,95,0.012067619142811,9.10309766843283,0.01,100.0,0.9985,0.0471,471.0,366.0,1279.0,10000.0,1.8964787721633911,-23.170560836791992,-3.4561996459960938
loc,0.15,90,0.01013155292607936,9.934865484743725,0.01,100.0,0.9973,0.0519,519.0,364.0,1303.0,10000.0,-9.126017570495605,18.36349868774414,3.4683239459991455
