x,y,z,K,activation_time,speed
-1.0762,23.3910,0.5003,0.011933,281,0.26245
-1.2199,23.3469,1.5899,0.006801,284,0.09962
-2.0502,23.2663,2.1544,0.017708,287,0.19044
-2.1014,23.3431,0.9455,0.014501,285,0.25204
-1.0633,23.1853,2.6344,0.011102,283,0.22958
-0.3526,23.3501,1.1368,0.007357,281,0.07686
-3.0843,23.2056,0.8514,0.009897,289,0.15796
-2.9697,23.1876,1.7834,0.011543,289,0.22894
-0.9190,22.9246,3.6399,0.006473,283,0.22694
-0.1837,23.2543,2.0585,0.011978,281,0.09805
-1.7847,23.2870,-0.2213,0.009406,282,0.25131
0.4317,23.1480,-0.6155,0.004200,274,0.25792
-0.3629,23.0977,-1.4764,0.034090,275,0.22493
-0.7870,22.5472,4.5952,0.008129,283,0.24055
0.1140,22.6909,3.9897,0.009588,279,0.23528
-3.9380,22.9673,1.3116,0.006312,293,0.11567
-3.8792,22.9143,2.3506,0.026070,293,0.22968
-2.9170,23.0213,2.8186,0.011417,291,0.15416
-1.9379,23.0390,3.2318,0.008484,287,0.24436
-0.0578,22.7594,-2.4745,0.005745,271,0.10977
0.0846,23.3051,0.2959,0.015428,277,0.25029
-4.7866,22.6397,1.7899,0.004882,296,0.22655
-0.6887,23.2760,-0.4827,0.008560,278,0.25210
-1.8120,22.7138,4.2390,0.013166,287,0.23867
-2.8176,22.7474,3.8377,0.007332,291,0.23204
0.6947,22.9107,-1.6222,0.008461,271,0.25886
2.0972,22.8224,-0.1174,0.011368,270,0.12123
1.4520,22.9192,-0.8051,0.011746,270,0.25450
-2.7799,23.1932,-0.0427,0.009452,286,0.19038
-5.6047,22.3201,1.1624,0.025138,298,0.18678
-3.8334,22.9793,0.2307,0.010015,290,0.18847
-1.1455,22.8708,-2.2744,0.007705,275,0.11831
-1.4587,23.1404,-1.2706,0.011276,279,0.22644
-0.0258,23.0325,3.0300,0.011976,279,0.16727
0.6221,23.2234,1.2664,0.009683,277,0.15297
-4.7446,22.6914,0.6858,0.010919,294,0.18337
-2.5190,23.0556,-1.0524,0.002148,283,0.20376
1.5778,22.9731,1.5248,0.012423,274,0.14393
-3.6877,22.3499,4.3904,0.010034,295,0.20521
0.2354,22.2628,4.9200,0.008616,279,0.23874
-3.7974,22.6756,3.3823,0.008090,295,0.13611
2.2840,22.7700,0.8469,0.004220,270,0.20823
1.0061,22.5645,-2.5515,0.003548,267,0.10813
-3.5655,22.9041,-0.7756,0.017328,287,0.19981
-1.6808,22.2968,5.1939,0.014667,287,0.23995
-4.5750,22.6270,-0.4046,0.004503,291,0.21834
1.2069,23.0934,0.3522,0.015035,273,0.24913
-2.6937,22.3786,4.8205,0.012904,291,0.23903
3.0047,22.4550,0.0836,0.004692,266,0.21073
1.8155,22.7230,2.6029,0.010101,273,0.19108
-4.7379,22.5056,2.8607,0.017407,297,0.25743
0.8295,23.0634,2.3203,0.021828,277,0.15233
1.7687,22.6247,-1.7582,0.008476,267,0.21203
2.7820,22.2385,-1.8396,0.006873,263,0.16547
1.3908,22.1705,-3.3607,0.010646,265,0.17554
-1.5396,21.7440,6.0766,0.005822,287,0.16553
3.4880,22.1329,-0.7720,0.008581,262,0.20887
-0.6660,22.0833,5.4993,0.013312,283,0.23695
1.1267,22.3588,4.3000,0.008597,275,0.23640
-3.2973,22.7296,-1.7921,0.006236,283,0.11885
0.3129,22.3298,-3.4510,0.008678,269,0.21864
-2.2310,22.8591,-2.0613,0.008334,279,0.12626
3.2976,22.3369,1.1071,0.012118,266,0.23118
0.9950,22.7631,3.3310,0.004993,275,0.12797
0.3300,21.7365,5.8022,0.007235,279,0.22758
2.5806,22.5806,1.8762,0.015882,270,0.21028
-0.4800,20.9164,7.1110,0.018424,283,0.11961
-3.5480,21.9261,5.3542,0.014097,295,0.16390
-0.8269,22.4838,-3.2386,0.005396,273,0.16160
-6.3578,21.8747,0.5295,0.019246,299,0.20731
-4.6434,22.2166,3.8981,0.013149,299,0.11481
2.9282,21.8380,3.9068,0.009707,267,0.11153
2.0965,22.2132,-2.7012,0.007895,263,0.11833
1.2401,21.7938,-4.1592,0.013540,265,0.24739
-5.3155,22.2060,-1.0428,0.009318,291,0.11896
4.2220,21.7937,1.3449,0.008777,263,0.17882
-1.9277,22.5331,-3.0405,0.017658,277,0.15984
0.3036,21.8776,-4.3514,0.007416,269,0.16325
-4.3300,22.5021,-1.4510,0.008346,287,0.10917
-3.0076,22.4621,-2.7934,0.009043,281,0.17734
3.9457,22.0013,0.2607,0.014540,262,0.24319
-7.1280,21.3109,1.0110,0.008542,303,0.19238
-0.6235,22.0462,-4.1607,0.009728,273,0.10632
1.8632,21.2209,-4.7940,0.008536,262,0.25800
2.5910,22.5081,-0.9859,0.012797,266,0.13281
-6.3974,21.8230,1.6367,0.011826,302,0.15374
-5.5019,22.3050,0.0500,0.009295,295,0.20866
-5.6135,22.2206,2.2711,0.014496,300,0.20403
3.0050,21.3237,4.8662,0.013200,267,0.21910
-7.0453,21.3050,-0.0798,0.014346,299,0.12419
2.7865,22.2592,2.9063,0.010344,270,0.10561
-6.3697,21.6575,2.7347,0.010685,304,0.16101
-2.5428,21.8951,5.7472,0.010162,291,0.16631
-5.5391,21.9780,3.3410,0.005243,301,0.27062
-6.0069,21.6495,-1.6550,0.011916,293,0.17383
-4.0514,22.2597,-2.4705,0.005761,285,0.15676
2.0928,21.8941,4.5907,0.007811,271,0.21799
-1.6533,22.1007,-3.9828,0.003596,276,0.23804
-4.5208,21.8341,4.8961,0.012898,299,0.13221
4.4271,21.6034,-0.6715,0.009786,258,0.22645
-6.3064,21.3843,3.8043,0.019500,305,0.21252
3.6437,21.8734,-1.6687,0.013556,259,0.17923
1.2205,21.8573,5.2244,0.014032,275,0.23276
-5.4401,21.6412,4.3743,0.012132,302,0.16455
-5.0628,21.9946,-2.0958,0.006405,289,0.16155
-6.2141,21.8040,-0.5715,0.012745,295,0.12086
-3.7598,21.9439,-3.4725,0.012378,284,0.19195
1.9809,22.3575,3.6211,0.009567,271,0.11483
-2.7066,22.0593,-3.7530,0.005247,280,0.18470
-5.7525,21.3728,-2.7080,0.006968,292,0.17614
1.2537,21.2504,6.0983,0.002170,275,0.21058
-5.4489,21.0362,-3.7019,0.002178,290,0.12068
0.1928,20.8960,-5.8378,0.013265,267,0.16984
0.3766,21.1217,6.6439,0.008384,279,0.16609
2.1423,21.3353,5.5127,0.009105,271,0.23013
4.5449,21.2757,-1.8299,0.009301,255,0.18383
3.8243,21.2205,4.1693,0.011301,263,0.09786
3.9479,21.3758,-2.6618,0.006857,255,0.07949
-4.7824,21.7158,-3.1190,0.007658,288,0.18883
-3.3583,21.3841,6.2463,0.011217,294,0.15399
-5.3026,21.1977,5.3507,0.013210,302,0.12012
3.7144,21.6944,3.1772,0.007351,266,0.12335
3.5397,22.0731,2.1510,0.011063,266,0.24013
3.0329,21.8079,-2.7638,0.006729,259,0.09357
0.8036,21.3348,-5.0530,0.003214,266,0.18331
5.0895,21.1537,1.5935,0.008278,259,0.22224
5.1468,21.0515,-1.1171,0.010251,255,0.13510
-0.5587,21.5282,6.3352,0.009757,283,0.17380
-0.9469,20.3031,7.7365,0.009940,283,0.24006
4.8142,21.4409,0.5039,0.012766,259,0.22009
1.3117,20.7404,-5.7216,0.010690,263,0.14307
-7.4784,20.5194,-1.7117,0.007668,300,0.12149
-4.4665,21.3355,-4.1076,0.011155,286,0.15657
-0.2926,21.4879,-5.0786,0.007850,270,0.20656
2.3126,21.6666,-3.7519,0.006132,261,0.21100
-4.3494,21.3335,5.8244,0.007640,298,0.13021
-3.4343,21.5075,-4.4355,0.008911,282,0.14359
1.1770,20.5952,6.9692,0.005638,275,0.21706
-6.6384,20.9904,-2.2307,0.007886,296,0.15287
-7.0668,21.0071,3.1728,0.009394,308,0.12200
-7.1273,21.2369,2.0956,0.018881,306,0.13718
4.2181,20.8242,-3.4904,0.007650,254,0.27575
-5.1096,20.6573,6.2558,0.007663,299,0.12926
-1.3320,21.5927,-4.9129,0.004826,274,0.18373
-6.4089,20.6436,-3.2938,0.008673,294,0.11531
-6.0349,20.4589,5.7410,0.011069,303,0.16794
2.3608,20.5320,-5.5107,0.006067,259,0.16998
-2.3841,21.5965,-4.7038,0.008911,278,0.16961
-6.1835,20.9557,4.7999,0.007541,306,0.08619
4.8606,20.6955,-2.7921,0.007011,251,0.07818
-0.9257,20.9921,-5.7782,0.007503,271,0.18222
-4.1198,20.8591,-5.0594,0.005418,283,0.16010
