R,curvature,threshold,frac_mean,frac_std,neigh_mean,neigh_std,n_seeds
6,0.027778,0.1,0.23750010000000002,0.059553487363974845,5.316685299999999,0.12023548326122793,10
10,0.01,0.1,0.6606453,0.06573757158420815,5.466628783333334,0.13510274591120966,10
14,0.005102,0.1,0.8790165,0.037841714860866335,5.492868733333334,0.16993148299987812,10
18,0.003086,0.1,0.9518886999999999,0.02505636536579966,5.5131637666666675,0.17684407124321933,10
22,0.002066,0.1,0.9771276999999998,0.013309567862172614,5.54762935,0.18349002639905598,10
26,0.001479,0.1,0.9880952000000001,0.007045208376383674,5.586578400000001,0.1708466498306179,10
30,0.001111,0.1,0.9922801,0.004272906854693758,5.623751566666668,0.17898025956980126,10
34,0.000865,0.1,0.9944880000000001,0.003870528847012463,5.65898985,0.1752583585958823,10
38,0.000693,0.1,0.99746,0.0008415574186524129,5.657411116666668,0.1616622321091466,10
42,0.000567,0.1,0.9978473999999998,0.0010525032805438585,5.692764283333333,0.15271483351415913,10
46,0.000473,0.1,0.9984185,0.0010612600738953985,5.697707649999999,0.14759772357883807,10
50,0.0004,0.1,0.9989705000000001,0.000569052477564441,5.7037208,0.13396238647127026,10
100,0.0001,0.1,0.999968,3.373096170843793e-05,5.7395983333333325,0.059589710971071394,10
200,2.5e-05,0.1,1.0,0.0,5.818676316666666,0.03550576901107078,10
300,1.1e-05,0.1,1.0,0.0,5.866009216666667,0.011687495720063305,10
6,0.027778,0.125,0.23750010000000002,0.059553487363974845,5.316685299999999,0.12023548326122793,10
10,0.01,0.125,0.5348388,0.1179252504916191,5.466628783333334,0.13510274591120966,10
14,0.005102,0.125,0.77541,0.08332226145248073,5.492868733333334,0.16993148299987812,10
18,0.003086,0.125,0.8916499999999999,0.04270356672327135,5.5131637666666675,0.17684407124321933,10
22,0.002066,0.125,0.9428192,0.025355219207624017,5.54762935,0.18349002639905598,10
26,0.001479,0.125,0.9606666,0.013794359420510362,5.586578400000001,0.1708466498306179,10
30,0.001111,0.125,0.975268,0.007824344757798496,5.623751566666668,0.17898025956980126,10
34,0.000865,0.125,0.9818486,0.005131256207466821,5.65898985,0.1752583585958823,10
38,0.000693,0.125,0.9888591999999999,0.0046073454106820835,5.657411116666668,0.1616622321091466,10
42,0.000567,0.125,0.9906969,0.0032957451846619013,5.692764283333333,0.15271483351415913,10
46,0.000473,0.125,0.9933088999999999,0.0035468670510434602,5.697707649999999,0.14759772357883807,10
50,0.0004,0.125,0.9958043,0.0014205534171973593,5.7037208,0.13396238647127026,10
100,0.0001,0.125,0.9997684,0.00015515526273881893,5.7395983333333325,0.059589710971071394,10
200,2.5e-05,0.125,0.9999904000000001,1.1187294380492805e-05,5.818676316666666,0.03550576901107078,10
300,1.1e-05,0.125,1.0,0.0,5.866009216666667,0.011687495720063305,10
6,0.027778,0.15,0.23750010000000002,0.059553487363974845,5.316685299999999,0.12023548326122793,10
